City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Emerald,AU,2021-09-25 02:38:27,-23.5333,148.1667,83.34,32,0,6.91
68,Charlestown,AU,2021-09-25 02:38:27,-32.95,151.6667,74.5,51,23,16.6
69,Klaksvik,FO,2021-09-25 02:36:38,62.2266,-6.589,45.52,75,100,10.16
70,Inirida,CO,2021-09-25 02:38:27,3.8653,-67.9239,72.39,95,100,1.9
71,Formosa,AR,2021-09-25 02:38:28,-26.1775,-58.1781,60.78,77,0,6.91
72,Xinan,CN,2021-09-25 02:38:28,26.72,119.8556,81.52,64,4,4.14
73,Savannakhet,LA,2021-09-25 02:38:28,16.566,104.751,77.02,83,75,4.61
74,Hofn,IS,2021-09-25 02:38:28,64.2539,-15.2082,37.94,91,100,13.04
75,Saint-Philippe,RE,2021-09-25 02:36:50,-21.3585,55.7679,69.35,83,4,13.96
76,Carnarvon,AU,2021-09-25 02:38:29,-24.8667,113.6333,71.67,64,40,16.11
77,Maneadero,MX,2021-09-25 02:38:29,31.7167,-116.5667,67.1,83,100,4.34
78,Butembo,CD,2021-09-25 02:38:29,0.15,29.2833,55.18,96,98,1.45
79,Butaritari,KI,2021-09-25 02:38:30,3.0707,172.7902,83.73,73,11,10.29
80,Esperance,AU,2021-09-25 02:38:30,-33.8667,121.9,60.64,48,43,13.18
81,Sao Jose Da Coroa Grande,BR,2021-09-25 02:38:30,-8.8978,-35.1478,75.04,86,34,9.73
82,Kaitangata,NZ,2021-09-25 02:38:30,-46.2817,169.8464,47.46,90,70,16.6
83,Yinchuan,CN,2021-09-25 02:38:31,38.4681,106.2731,68.14,59,100,2.46
84,Clyde River,CA,2021-09-25 02:38:31,70.4692,-68.5914,27.25,69,24,4.25
85,Ormara,PK,2021-09-25 02:33:36,25.2088,64.6357,82.78,73,16,8.34
86,Makamba,BI,2021-09-25 02:38:31,-4.1348,29.804,63.99,56,24,4.88
87,Cape Town,ZA,2021-09-25 02:35:43,-33.9258,18.4232,54.27,92,75,2.3
88,Norman Wells,CA,2021-09-25 02:38:32,65.282,-126.8329,37.44,93,90,11.5
89,Luderitz,NA,2021-09-25 02:38:32,-26.6481,15.1594,58.55,66,29,9.22
90,Katsuura,JP,2021-09-25 02:38:32,35.1333,140.3,77.11,73,55,15.59
91,Salekhard,RU,2021-09-25 02:38:33,66.53,66.6019,34.7,83,23,3.33
92,Coihaique,CL,2021-09-25 02:38:33,-45.5752,-72.0662,53.55,66,75,3.44
93,Khatanga,RU,2021-09-25 02:38:33,71.9667,102.5,33.87,78,100,10.07
94,Shache,CN,2021-09-25 02:38:33,38.4167,77.2406,74.55,13,0,5.46
95,Narsaq,GL,2021-09-25 02:38:34,60.9167,-46.05,34.02,43,0,4.21
96,Dobre Miasto,PL,2021-09-25 02:38:34,53.9867,20.3975,56.08,87,99,16.62
97,Bima,ID,2021-09-25 02:38:34,-8.4667,118.7167,94.05,41,13,1.07
98,Tuatapere,NZ,2021-09-25 02:38:35,-46.1333,167.6833,47.82,72,70,15.79
99,Banda Aceh,ID,2021-09-25 02:38:35,5.5577,95.3222,85.33,67,50,9.28
100,Nuuk,GL,2021-09-25 02:38:35,64.1835,-51.7216,31.48,52,0,17.63
101,Berlevag,NO,2021-09-25 02:38:35,70.8578,29.0864,46.26,89,100,9.57
102,Provideniya,RU,2021-09-25 02:38:36,64.3833,-173.3,33.51,89,100,16.71
103,Salalah,OM,2021-09-25 02:38:36,17.0151,54.0924,82.49,78,75,3.44
104,Gizo,SB,2021-09-25 02:38:36,-8.103,156.8419,84.49,70,84,2.95
105,Yenotayevka,RU,2021-09-25 02:38:36,47.2456,47.0281,50.81,79,10,7.87
106,Erdemli,TR,2021-09-25 02:38:37,36.605,34.3084,70.65,37,0,7.74
107,Chuy,UY,2021-09-25 02:38:37,-33.6971,-53.4616,57.04,96,52,6.71
108,Sopelana,ES,2021-09-25 02:38:37,43.3789,-2.9831,71.55,72,0,4.61
109,Kupang,ID,2021-09-25 02:38:37,-10.1667,123.5833,88.38,40,20,13.8
110,Bac Lieu,VN,2021-09-25 02:38:38,9.285,105.7244,84.78,68,98,7.23
111,Saskylakh,RU,2021-09-25 02:38:38,71.9167,114.0833,33.01,84,100,14.99
112,Oranjemund,NA,2021-09-25 02:38:38,-28.55,16.4333,54.64,90,25,6.33
113,Bonavista,CA,2021-09-25 02:38:39,48.6499,-53.1147,44.11,75,7,5.68
114,Ribeira Grande,PT,2021-09-25 02:37:00,38.5167,-28.7,70.66,82,100,20.02
115,Cabra,ES,2021-09-25 02:38:39,37.4725,-4.4421,66.18,81,97,4.45
116,Port Hedland,AU,2021-09-25 02:38:39,-20.3167,118.5667,80.65,65,43,10.36
117,Yulara,AU,2021-09-25 02:38:41,-25.2406,130.9889,82.24,9,98,16.11
118,Tabou,CI,2021-09-25 02:38:41,4.423,-7.3528,76.71,91,85,7.14
119,Geraldton,AU,2021-09-25 02:38:41,-28.7667,114.6,70.21,37,0,4.61
120,Lucapa,AO,2021-09-25 02:38:41,-8.4192,20.7447,63.0,88,31,0.58
121,Bemidji,US,2021-09-25 02:38:42,47.4736,-94.8803,51.26,63,90,5.75
122,East Retford,GB,2021-09-25 02:38:42,53.3221,-0.9432,64.99,86,20,4.61
123,Qesarya,IL,2021-09-25 02:38:42,32.5189,34.9046,70.52,67,2,7.94
124,Tarakan,ID,2021-09-25 02:38:42,3.3,117.6333,80.1,83,75,5.75
125,Bethel,US,2021-09-25 02:38:43,41.3712,-73.414,61.92,91,1,3.44
126,Timiryazevskiy,RU,2021-09-25 02:38:43,56.49,84.8769,39.16,95,100,4.25
127,Chokurdakh,RU,2021-09-25 02:38:43,70.6333,147.9167,34.57,86,100,16.37
128,Cabo San Lucas,MX,2021-09-25 02:37:46,22.8909,-109.9124,85.6,74,2,8.63
129,Valleyview,CA,2021-09-25 02:38:44,55.0667,-117.2859,60.84,41,98,6.91
130,San Quintin,MX,2021-09-25 02:38:44,30.4833,-115.95,69.3,78,85,1.43
131,Palora,EC,2021-09-25 02:38:44,-1.7,-77.9333,64.81,80,87,2.28
132,Vestmannaeyjar,IS,2021-09-25 02:38:44,63.4427,-20.2734,42.8,79,92,6.64
133,Lompoc,US,2021-09-25 02:38:45,34.6391,-120.4579,68.11,93,1,4.61
134,Moose Factory,CA,2021-09-25 02:38:45,51.2585,-80.6094,48.2,93,90,9.22
135,Belle Fourche,US,2021-09-25 02:38:45,44.6714,-103.8522,58.55,42,15,1.41
136,Tautira,PF,2021-09-25 02:38:46,-17.7333,-149.15,82.42,65,0,4.0
137,Betanzos,ES,2021-09-25 02:38:46,43.2804,-8.2147,63.1,90,90,1.01
138,New Norfolk,AU,2021-09-25 02:36:42,-42.7826,147.0587,50.76,67,75,1.99
